,ProductName_ID,Point-of-Sale_ID,Sell-out units,date
1563,1020,42,14,2019-03-25
1564,1020,42,4,2019-04-01
1565,1020,42,4,2019-04-08
1566,1020,42,16,2019-04-15
1567,1020,42,18,2019-04-22
1568,1020,42,8,2019-04-29
1569,1020,42,8,2019-05-06
1570,1020,42,12,2019-05-13
1571,1020,42,6,2019-01-14
1572,1020,42,8,2019-05-20
1573,1020,42,8,2019-05-27
1574,1020,42,14,2019-06-03
1575,1020,42,30,2019-06-10
1576,1020,42,4,2019-06-17
1577,1020,42,15,2019-06-24
1578,1020,42,12,2019-07-01
1579,1020,42,10,2019-07-08
1580,1020,42,14,2019-07-15
1581,1020,42,6,2019-07-22
1582,1020,42,16,2019-01-21
1583,1020,42,15,2019-07-29
1584,1020,42,6,2019-08-05
1585,1020,42,18,2019-08-12
1586,1020,42,25,2019-08-19
1587,1020,42,12,2019-08-26
1588,1020,42,28,2019-09-02
1589,1020,42,10,2019-09-09
1590,1020,42,2,2019-09-16
1591,1020,42,8,2019-09-23
1592,1020,42,10,2019-09-30
1593,1020,42,8,2019-10-07
1594,1020,42,26,2019-10-14
1595,1020,42,14,2019-10-21
1596,1020,42,22,2019-10-28
1597,1020,42,8,2019-11-04
1598,1020,42,16,2019-02-04
1599,1020,42,8,2019-02-11
1600,1020,42,22,2019-02-18
1601,1020,42,6,2019-02-25
1602,1020,42,6,2019-03-04
1603,430,42,40,2016-01-04
1604,430,42,32,2016-03-07
1605,430,42,20,2016-03-14
1606,430,42,24,2016-03-21
1607,430,42,49,2016-03-28
1608,430,42,30,2016-04-04
1609,430,42,8,2016-04-11
1610,430,42,22,2016-04-18
1611,430,42,28,2016-04-25
1612,430,42,27,2016-05-02
1613,430,42,22,2016-05-09
1614,430,42,36,2016-01-11
1615,430,42,27,2016-05-16
1616,430,42,22,2016-05-23
1617,430,42,16,2016-05-30
1618,430,42,24,2016-06-06
1619,430,42,20,2016-06-13
1620,430,42,10,2016-06-20
1621,430,42,8,2016-06-27
1622,430,42,14,2016-07-04
1623,430,42,12,2016-07-11
1624,430,42,6,2016-07-18
1625,430,42,24,2016-01-18
1626,430,42,12,2016-07-25
1627,430,42,8,2016-08-01
1628,430,42,18,2016-08-08
1629,430,42,6,2016-08-15
1630,430,42,20,2016-08-22
1631,430,42,10,2016-08-29
1632,430,42,14,2016-09-05
1633,430,42,16,2016-09-12
1634,430,42,30,2016-09-19
1635,430,42,18,2016-09-26
1636,430,42,30,2016-01-25
1637,430,42,8,2016-10-03
1638,430,42,19,2016-10-10
1639,430,42,18,2016-10-17
1640,430,42,20,2016-10-24
1641,430,42,20,2016-10-31
1642,430,42,35,2016-11-07
1643,430,42,50,2016-11-14
1644,430,42,45,2016-11-21
1645,430,42,84,2016-11-28
1646,430,42,40,2016-12-05
1647,430,42,36,2016-02-01
1648,430,42,69,2016-12-12
1649,430,42,68,2016-12-19
1650,430,42,80,2016-12-26
1651,430,42,24,2017-01-02
1652,430,42,41,2016-02-08
1653,430,42,52,2016-02-15
1654,430,42,51,2016-02-22
1655,430,42,20,2016-02-29
1656,430,42,81,2017-01-02
1657,430,42,32,2017-03-06
1658,430,42,41,2017-03-13
1659,430,42,26,2017-03-20
1660,430,42,34,2017-03-27
1661,430,42,12,2017-04-03
1662,430,42,10,2017-04-10
1663,430,42,13,2017-04-17
1664,430,42,16,2017-04-24
1665,430,42,14,2017-05-01
1666,430,42,10,2017-05-08
1667,430,42,71,2017-01-09
1668,430,42,8,2017-05-15
1669,430,42,14,2017-05-22
1670,430,42,8,2017-05-29
1671,430,42,6,2017-06-05
1672,430,42,10,2017-06-12
1673,430,42,8,2017-06-19
1674,430,42,16,2017-06-26
1675,430,42,12,2017-07-03
1676,430,42,8,2017-07-10
1677,430,42,6,2017-07-17
1678,430,42,65,2017-01-16
1679,430,42,2,2017-07-24
1680,430,42,10,2017-07-31
1681,430,42,14,2017-08-07
1682,430,42,14,2017-08-14
1683,430,42,20,2017-08-21
1684,430,42,14,2017-08-28
1685,430,42,18,2017-09-04
1686,430,42,10,2017-09-11
1687,430,42,20,2017-09-18
1688,430,42,28,2017-09-25
1689,430,42,59,2017-01-23
1690,430,42,38,2017-10-02
1691,430,42,20,2017-10-09
1692,430,42,30,2017-10-16
1693,430,42,22,2017-10-23
1694,430,42,14,2017-10-30
1695,430,42,28,2017-11-06
1696,430,42,22,2017-11-13
1697,430,42,22,2017-11-20
1698,430,42,24,2017-11-27
1699,430,42,26,2017-12-04
1700,430,42,40,2017-01-30
1701,430,42,34,2017-12-11
1702,430,42,58,2017-12-18
1703,430,42,73,2017-12-25
1704,430,42,24,2017-02-06
1705,430,42,30,2017-02-13
1706,430,42,20,2017-02-20
1707,430,42,22,2017-02-27
1708,430,42,42,2018-01-01
1709,430,42,34,2018-03-05
1710,430,42,20,2018-03-12
1711,430,42,18,2018-03-19
1712,430,42,22,2018-03-26
1713,430,42,24,2018-04-02
1714,430,42,12,2018-04-09
1715,430,42,24,2018-04-16
1716,430,42,8,2018-04-23
1717,430,42,28,2018-04-30
1718,430,42,26,2018-05-07
1719,430,42,47,2018-01-08
1720,430,42,12,2018-05-14
1721,430,42,8,2018-05-21
1722,430,42,24,2018-05-28
1723,430,42,10,2018-06-04
1724,430,42,16,2018-06-11
1725,430,42,12,2018-06-18
1726,430,42,12,2018-06-25
1727,430,42,16,2018-07-02
1728,430,42,10,2018-07-09
1729,430,42,10,2018-07-16
1730,430,42,34,2018-01-15
1731,430,42,8,2018-07-23
1732,430,42,8,2018-07-30
1733,430,42,8,2018-08-06
1734,430,42,16,2018-08-13
1735,430,42,10,2018-08-20
1736,430,42,12,2018-08-27
1737,430,42,16,2018-09-03
1738,430,42,8,2018-09-10
1739,430,42,12,2018-09-17
1740,430,42,10,2018-09-24
1741,430,42,30,2018-01-22
1742,430,42,22,2018-10-01
1743,430,42,18,2018-10-08
1744,430,42,24,2018-10-15
1745,430,42,20,2018-10-22
1746,430,42,18,2018-10-29
1747,430,42,30,2018-11-05
1748,430,42,28,2018-11-12
1749,430,42,32,2018-11-19
1750,430,42,26,2018-11-26
1751,430,42,38,2018-12-03
1752,430,42,26,2018-01-29
1753,430,42,40,2018-12-10
1754,430,42,16,2018-12-17
1755,430,42,14,2018-12-24
1756,430,42,22,2018-02-05
1757,430,42,32,2018-02-12
1758,430,42,26,2018-02-19
1759,430,42,36,2018-02-26
1760,430,42,51,2019-01-07
